,index,Rank,Name,Platform,Platform2,Year,Year2,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Genero,Plataforma
19,19,20.0,Brain Age: Train Your Brain in Minutes a Day,DS,DS,2005.0,2005,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22,4,2.0
20,20,21.0,Pokemon Diamond/Pokemon Pearl,DS,DS,2006.0,2006,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36,11,2.0
21,21,22.0,Super Mario Land,GB,OTRA,1989.0,1993,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,1,20.0
22,22,23.0,Super Mario Bros. 3,NES,OTRA,1988.0,1993,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,1,20.0
23,23,24.0,Grand Theft Auto V,X360,X360,2013.0,2013,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,2,17.0
24,24,25.0,Grand Theft Auto: Vice City,PS2,PS2,2002.0,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,2,8.0
25,25,26.0,Pokemon Ruby/Pokemon Sapphire,GBA,GBA,2002.0,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,11,3.0
26,26,27.0,Pokemon Black/Pokemon White,DS,DS,2010.0,2010,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32,11,2.0
27,27,28.0,Brain Age 2: More Training in Minutes a Day,DS,DS,2005.0,2005,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3,6,2.0
28,28,29.0,Gran Turismo 3: A-Spec,PS2,PS2,2001.0,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,7,8.0
29,29,30.0,Call of Duty: Modern Warfare 3,X360,X360,2011.0,2011,Shooter,Activision,9.03,4.28,0.13,1.32,14.76,8,17.0
30,30,31.0,Pokémon Yellow: Special Pikachu Edition,GB,OTRA,1998.0,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,11,20.0
31,31,32.0,Call of Duty: Black Ops,X360,X360,2010.0,2010,Shooter,Activision,9.67,3.73,0.11,1.13,14.64,8,17.0
32,32,33.0,Pokemon X/Pokemon Y,3DS,3DS,2013.0,2013,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35,11,1.0
33,33,34.0,Call of Duty: Black Ops 3,PS4,PS4,2015.0,2015,Shooter,Activision,5.77,5.81,0.35,2.31,14.24,8,10.0
34,34,35.0,Call of Duty: Black Ops II,PS3,PS3,2012.0,2012,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,8,9.0
35,35,36.0,Call of Duty: Black Ops II,X360,X360,2012.0,2012,Shooter,Activision,8.25,4.3,0.07,1.12,13.73,8,17.0
36,36,37.0,Call of Duty: Modern Warfare 2,X360,X360,2009.0,2009,Shooter,Activision,8.52,3.63,0.08,1.29,13.51,8,17.0
37,37,38.0,Call of Duty: Modern Warfare 3,PS3,PS3,2011.0,2011,Shooter,Activision,5.54,5.82,0.49,1.62,13.46,8,9.0
38,38,39.0,Grand Theft Auto III,PS2,PS2,2001.0,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,2,8.0
39,39,40.0,Super Smash Bros. Brawl,Wii,Wii,2008.0,2008,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,5,15.0
40,40,41.0,Call of Duty: Black Ops,PS3,PS3,2010.0,2010,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,8,9.0
41,41,42.0,Animal Crossing: Wild World,DS,DS,2005.0,2005,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27,9,2.0
42,42,43.0,Mario Kart 7,3DS,3DS,2011.0,2011,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21,7,1.0
43,43,44.0,Halo 3,X360,X360,2007.0,2007,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,8,17.0
44,44,45.0,Grand Theft Auto V,PS4,PS4,2014.0,2014,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98,2,10.0
45,45,46.0,Pokemon HeartGold/Pokemon SoulSilver,DS,DS,2009.0,2009,Action,Nintendo,4.4,2.77,3.96,0.77,11.9,2,2.0
46,46,47.0,Super Mario 64,N64,N64,1996.0,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,1,5.0
47,47,48.0,Gran Turismo 4,PS2,PS2,2004.0,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,7,8.0
48,48,49.0,Super Mario Galaxy,Wii,Wii,2007.0,2007,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,1,15.0
49,49,50.0,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,3DS,2014.0,2014,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33,11,1.0
50,50,51.0,Super Mario Land 2: 6 Golden Coins,GB,OTRA,1992.0,1993,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,3,20.0
51,51,52.0,Grand Theft Auto IV,X360,X360,2008.0,2008,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,2,17.0
52,52,53.0,Gran Turismo,PS,PS,1997.0,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,7,7.0
53,53,54.0,Super Mario 3D Land,3DS,3DS,2011.0,2011,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79,1,1.0
54,54,55.0,Gran Turismo 5,PS3,PS3,2010.0,2010,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,7,9.0
55,55,56.0,Call of Duty: Modern Warfare 2,PS3,PS3,2009.0,2009,Shooter,Activision,4.99,3.69,0.38,1.63,10.69,8,9.0
56,56,57.0,Grand Theft Auto IV,PS3,PS3,2008.0,2008,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,2,9.0
57,57,58.0,Super Mario All-Stars,SNES,SNES,1993.0,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,1,14.0
58,58,59.0,Pokemon FireRed/Pokemon LeafGreen,GBA,GBA,2004.0,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,11,3.0
59,59,60.0,Super Mario 64,DS,DS,2004.0,2004,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42,1,2.0
60,60,61.0,Just Dance 3,Wii,Wii,2011.0,2011,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.26,4,15.0
61,61,62.0,Call of Duty: Ghosts,X360,X360,2013.0,2013,Shooter,Activision,6.72,2.63,0.04,0.82,10.21,8,17.0
62,62,63.0,Halo: Reach,X360,X360,2010.0,2010,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,8,17.0
63,63,64.0,Mario Kart 64,N64,N64,1996.0,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,7,5.0
64,64,65.0,New Super Mario Bros. 2,3DS,3DS,2012.0,2012,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,1,1.0
65,65,66.0,Halo 4,X360,X360,2012.0,2012,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,8,17.0
66,66,67.0,Final Fantasy VII,PS,PS,1997.0,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,11,7.0
67,67,68.0,Call of Duty: Ghosts,PS3,PS3,2013.0,2013,Shooter,Activision,4.09,3.73,0.38,1.38,9.59,8,9.0
68,68,69.0,Just Dance 2,Wii,Wii,2010.0,2010,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,4,15.0
69,69,70.0,Gran Turismo 2,PS,PS,1999.0,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,7,7.0
70,70,71.0,Call of Duty 4: Modern Warfare,X360,X360,2007.0,2007,Shooter,Activision,5.91,2.38,0.13,0.9,9.32,8,17.0
71,71,72.0,Donkey Kong Country,SNES,SNES,1994.0,1994,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,1,14.0
72,72,73.0,Minecraft,X360,X360,2013.0,2013,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,4,17.0
73,73,74.0,Animal Crossing: New Leaf,3DS,3DS,2012.0,2012,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,9,1.0
74,74,75.0,Mario Party DS,DS,DS,2007.0,2007,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02,4,2.0
75,75,76.0,The Elder Scrolls V: Skyrim,X360,X360,2011.0,2011,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,11,17.0
76,76,77.0,Super Mario Kart,SNES,SNES,1992.0,1993,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,7,14.0
77,77,78.0,FIFA 16,PS4,PS4,2015.0,2015,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49,0,10.0
78,78,79.0,Wii Party,Wii,Wii,2010.0,2010,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49,4,15.0
79,79,80.0,Halo 2,XB,XB,2004.0,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,8,18.0
80,80,81.0,Mario Party 8,Wii,Wii,2007.0,2007,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,4,15.0
81,81,82.0,Pokemon Black 2/Pokemon White 2,DS,DS,2012.0,2012,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33,11,2.0
82,82,83.0,FIFA Soccer 13,PS3,PS3,2012.0,2012,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24,2,9.0
83,83,84.0,The Sims 3,PC,PC,2009.0,2009,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11,9,6.0
84,84,85.0,GoldenEye 007,N64,N64,1997.0,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,8,5.0
85,85,86.0,Mario & Sonic at the Olympic Games,Wii,Wii,2007.0,2007,Sports,Sega,2.58,3.9,0.66,0.91,8.06,0,15.0
86,86,87.0,Final Fantasy X,PS2,PS2,2001.0,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,11,8.0
87,87,88.0,Final Fantasy VIII,PS,PS,1999.0,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,11,7.0
88,88,89.0,Pokémon Platinum Version,DS,DS,2008.0,2008,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84,11,2.0
89,89,90.0,Pac-Man,2600,2600,1982.0,1993,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,6,0
90,90,91.0,Grand Theft Auto: Liberty City Stories,PSP,PSP,2005.0,2005,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72,2,11
91,91,92.0,Super Mario Galaxy 2,Wii,Wii,2010.0,2010,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,1,15
92,92,93.0,Star Wars Battlefront (2015),PS4,PS4,2015.0,2015,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67,8,10
93,93,94.0,Call of Duty: Advanced Warfare,PS4,PS4,2014.0,2014,Shooter,Activision,2.8,3.3,0.14,1.37,7.6,8,10
94,94,95.0,The Legend of Zelda: Ocarina of Time,N64,N64,1998.0,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,2,5
95,95,96.0,Crash Bandicoot 2: Cortex Strikes Back,PS,PS,1997.0,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,1,7
96,96,97.0,Super Mario Bros. 2,NES,OTRA,1988.0,1993,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,1,20
97,97,98.0,Super Smash Bros. for Wii U and 3DS,3DS,3DS,2014.0,2014,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45,5,1
98,98,99.0,Call of Duty: World at War,X360,X360,2008.0,2008,Shooter,Activision,4.79,1.9,0.0,0.69,7.37,8,17
99,99,100.0,Battlefield 3,X360,X360,2011.0,2011,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34,8,17
100,100,101.0,The Legend of Zelda: Twilight Princess,Wii,Wii,2006.0,2006,Action,Nintendo,3.83,2.19,0.6,0.7,7.31,2,15
101,101,102.0,Call of Duty: Black Ops 3,XOne,XOne,2015.0,2015,Shooter,Activision,4.52,2.09,0.01,0.67,7.3,8,19
102,102,103.0,Just Dance,Wii,Wii,2009.0,2009,Misc,Ubisoft,3.51,3.03,0.0,0.73,7.27,4,15
103,103,104.0,Battlefield 3,PS3,PS3,2011.0,2011,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23,8,9
104,104,105.0,Need for Speed Underground,PS2,PS2,2003.0,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,7,8
105,105,106.0,Tekken 3,PS,PS,1998.0,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,5,7
106,106,107.0,Crash Bandicoot 3: Warped,PS,PS,1998.0,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,1,7
107,107,108.0,Super Smash Bros. Melee,GC,GC,2001.0,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,5,4
108,108,109.0,Mario Kart 8,WiiU,WiiU,2014.0,2014,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96,7,16
109,109,110.0,Fallout 4,PS4,PS4,2015.0,2015,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96,11,10
110,110,111.0,Mario Kart: Double Dash!!,GC,GC,2003.0,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,7,4
111,111,112.0,Just Dance 4,Wii,Wii,2012.0,2012,Misc,Ubisoft,4.14,2.21,0.0,0.56,6.91,4,15
112,112,113.0,FIFA 14,PS3,PS3,2013.0,2013,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9,0,9
113,113,114.0,Need for Speed Underground 2,PS2,PS2,2004.0,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,7,8
114,114,115.0,Medal of Honor: Frontline,PS2,PS2,2002.0,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,8,8
115,115,116.0,Uncharted 3: Drake's Deception,PS3,PS3,2011.0,2011,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83,2,9
116,116,117.0,Crash Bandicoot,PS,PS,1996.0,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,1,7
117,117,118.0,Zumba Fitness,Wii,Wii,2010.0,2010,Sports,505 Games,3.5,2.64,0.0,0.67,6.81,0,15
118,118,119.0,Gears of War 2,X360,X360,2008.0,2008,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76,8,17
119,119,120.0,Uncharted 2: Among Thieves,PS3,PS3,2009.0,2009,Action,Sony Computer Entertainment,3.27,2.25,0.21,1.0,6.73,2,9
120,120,121.0,Call of Duty 4: Modern Warfare,PS3,PS3,2007.0,2007,Shooter,Activision,3.1,2.3,0.28,1.04,6.72,8,9
121,121,122.0,FIFA 12,PS3,PS3,2011.0,2011,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69,0,9
122,122,123.0,Big Brain Academy,DS,DS,2005.0,2005,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67,4,2
123,123,124.0,Red Dead Redemption,PS3,PS3,2010.0,2010,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6,2,9
124,124,125.0,FIFA 15,PS4,PS4,2014.0,2014,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59,0,10
125,125,126.0,Donkey Kong Country Returns,Wii,Wii,2010.0,2010,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59,1,15
126,126,127.0,The Elder Scrolls V: Skyrim,PS3,PS3,2011.0,2011,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56,11,9
127,127,128.0,The Legend of Zelda,NES,OTRA,1986.0,1993,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,2,20
128,128,129.0,Assassin's Creed III,PS3,PS3,2012.0,2012,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5,2,9
129,129,130.0,Halo: Combat Evolved,XB,XB,2001.0,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,8,18
130,130,131.0,Pokémon Emerald Version,GBA,GBA,2004.0,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,11,3
131,131,132.0,Kingdom Hearts,PS2,PS2,2002.0,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,11,8
132,132,133.0,Pokémon Crystal Version,GB,OTRA,2000.0,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,11,20
133,133,134.0,Halo 3: ODST,X360,X360,2009.0,2009,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36,8,17
134,134,135.0,Red Dead Redemption,X360,X360,2010.0,2010,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34,2,17
135,135,136.0,Super Mario Sunshine,GC,GC,2002.0,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,1,4
136,136,137.0,Street Fighter II: The World Warrior,SNES,SNES,1992.0,1993,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,5,14
137,137,138.0,World of Warcraft,PC,PC,2004.0,2004,Role-Playing,Activision,0.07,6.21,0.0,0.0,6.28,11,6
138,138,139.0,Driver,PS,PS,1999.0,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,2,7
139,139,140.0,Kinect Sports,X360,X360,2010.0,2010,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24,0,17
140,140,141.0,Gears of War 3,X360,X360,2011.0,2011,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24,8,17
141,141,142.0,Gears of War,X360,X360,2006.0,2006,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11,8,17
142,142,143.0,Metal Gear Solid 2: Sons of Liberty,PS2,PS2,2001.0,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,2,8
143,143,144.0,Sonic the Hedgehog 2,GEN,OTRA,1992.0,1993,Platform,Sega,4.47,1.2,0.16,0.19,6.03,1,20
144,144,145.0,Metal Gear Solid 4: Guns of the Patriots,PS3,PS3,2008.0,2008,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03,2,9
145,145,146.0,Metal Gear Solid,PS,PS,1998.0,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,2,7
146,146,147.0,The Last of Us,PS3,PS3,2013.0,2013,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99,2,9
147,147,148.0,Final Fantasy XII,PS2,PS2,2006.0,2006,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,11,8
148,148,149.0,LittleBigPlanet,PS3,PS3,2008.0,2008,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92,1,9
149,149,150.0,Dragon Quest IX: Sentinels of the Starry Skies,DS,DS,2009.0,2009,Role-Playing,Nintendo,0.66,0.69,4.35,0.15,5.84,11,2
150,150,151.0,LEGO Star Wars: The Complete Saga,Wii,Wii,2007.0,2007,Action,LucasArts,3.66,1.63,0.0,0.53,5.83,2,15
151,151,152.0,Resident Evil 2,PS,PS,1998.0,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,2,7
152,152,153.0,Tekken 2,PS,PS,1996.0,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,5,7
153,153,154.0,Cooking Mama,DS,DS,2006.0,2006,Simulation,505 Games,3.13,1.94,0.07,0.58,5.72,9,2
154,154,155.0,Destiny,PS4,PS4,2014.0,2014,Shooter,Activision,2.49,2.05,0.16,0.96,5.65,8,10
155,155,156.0,Tetris,NES,OTRA,1988.0,1993,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,6,20
156,156,157.0,Assassin's Creed II,PS3,PS3,2009.0,2009,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57,2,9
157,157,158.0,Super Smash Bros.,N64,N64,1999.0,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,5,5
158,158,159.0,Assassin's Creed,X360,X360,2007.0,2007,Adventure,Ubisoft,3.28,1.65,0.07,0.55,5.55,3,17
159,159,160.0,Batman: Arkham City,PS3,PS3,2011.0,2011,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53,2,9
160,160,161.0,Forza Motorsport 3,X360,X360,2009.0,2009,Racing,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51,7,17
161,161,162.0,Monster Hunter Freedom Unite,PSP,PSP,2008.0,2008,Role-Playing,Capcom,0.47,0.57,4.13,0.34,5.5,11,11
162,162,163.0,Super Mario Advance,GBA,GBA,2001.0,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,1,3
163,163,164.0,Mario Kart: Super Circuit,GBA,GBA,2001.0,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,7,3
164,164,165.0,Super Mario World,GBA,GBA,2001.0,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,1,3
165,165,166.0,Pokemon Stadium,N64,N64,1999.0,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,10,5
166,166,167.0,Call of Duty: World at War,PS3,PS3,2008.0,2008,Shooter,Activision,2.72,1.87,0.0,0.84,5.43,8,9
167,167,168.0,Crash Bandicoot: The Wrath of Cortex,PS2,PS2,2001.0,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,1,8
168,168,169.0,Minecraft,PS3,PS3,2014.0,2014,Misc,Sony Computer Entertainment,1.97,2.51,0.0,0.94,5.42,4,9
169,169,170.0,Final Fantasy XIII,PS3,PS3,2009.0,2009,Role-Playing,Square Enix,1.74,1.24,1.87,0.52,5.36,11,9
170,170,171.0,Dr. Mario,GB,OTRA,1989.0,1993,Puzzle,Nintendo,2.18,0.96,2.0,0.2,5.34,6,20
171,171,172.0,Pokemon Pinball,GB,OTRA,1999.0,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31,4,20
172,172,173.0,Assassin's Creed III,X360,X360,2012.0,2012,Action,Ubisoft,3.13,1.71,0.03,0.44,5.3,2,17
173,173,174.0,Final Fantasy IX,PS,PS,2000.0,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,11,7
174,174,175.0,Final Fantasy X-2,PS2,PS2,2003.0,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,11,8
175,175,176.0,Donkey Kong 64,N64,N64,1999.0,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27,1,5
176,176,177.0,Assassin's Creed II,X360,X360,2009.0,2009,Action,Ubisoft,3.1,1.56,0.08,0.51,5.27,2,17
177,177,178.0,Professor Layton and the Curious Village,DS,DS,2007.0,2007,Puzzle,Nintendo,1.22,2.48,1.03,0.52,5.26,6,2
178,178,179.0,Tomb Raider II,PS,PS,1997.0,1997,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,2,7
179,179,180.0,Madden NFL 2004,PS2,PS2,,1992,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23,0,8
180,180,181.0,Dragon Quest VIII: Journey of the Cursed King,PS2,PS2,2004.0,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,11,8
181,181,182.0,Diablo III,PC,PC,2012.0,2012,Role-Playing,Activision,2.43,2.15,0.0,0.62,5.2,11,6
182,182,183.0,Super Mario Bros. 3,GBA,GBA,2003.0,2003,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2,1,3
183,183,184.0,New Super Mario Bros. U,WiiU,WiiU,2012.0,2012,Platform,Nintendo,2.32,1.3,1.27,0.31,5.19,1,16
184,184,185.0,Super Mario Land 3: Wario Land,GB,OTRA,1994.0,1994,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19,1,20
185,185,186.0,FIFA Soccer 13,X360,X360,2012.0,2012,Action,Electronic Arts,1.08,3.48,0.03,0.58,5.18,2,17
186,186,187.0,The Legend of Zelda: Phantom Hourglass,DS,DS,2007.0,2007,Action,Nintendo,1.9,1.83,0.95,0.49,5.17,2,2
187,187,188.0,Donkey Kong Country 2: Diddy's Kong Quest,SNES,SNES,1995.0,1995,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15,1,14
188,188,189.0,Tomodachi Life,3DS,3DS,2013.0,2013,Simulation,Nintendo,0.96,2.02,1.89,0.28,5.15,9,1
189,189,190.0,Mario & Sonic at the Olympic Games,DS,DS,2008.0,2008,Sports,Sega,1.64,2.48,0.44,0.58,5.14,0,2
190,190,191.0,Medal of Honor: Rising Sun,PS2,PS2,2003.0,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,8,8
191,191,192.0,Kirby's Dream Land,GB,OTRA,1992.0,1993,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13,1,20
